Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
Said Nurmagomedov,1,17 of 24,70%,17 of 24,0 of 0,0%,0,0,0
Rogerio Bontorin,0,40 of 77,51%,52 of 89,1 of 3,33%,2,2,1
Henry Cejudo,1,18 of 23,78%,18 of 23,0 of 0,0%,0,0,0
Allen Crowder,0,12 of 30,40%,16 of 34,1 of 3,33%,1,2,0
Gregor Gillespie,0,51 of 71,71%,73 of 95,6 of 11,54%,0,7,1
Joseph Benavidez,1,21 of 50,42%,37 of 72,7 of 12,58%,0,2,2
Paige VanZant,0,17 of 27,62%,38 of 56,0 of 1,0%,2,1,0
Glover Teixeira,0,6 of 11,54%,20 of 26,1 of 3,33%,1,3,0
Donald Cerrone,1,80 of 162,49%,81 of 163,1 of 1,100%,0,0,0
Joanne Calderwood,0,85 of 172,49%,121 of 213,1 of 3,33%,2,4,1
Alonzo Menifield,1,33 of 60,55%,35 of 62,0 of 0,0%,0,0,0
Cory Sandhagen,1,17 of 54,31%,17 of 55,1 of 2,50%,2,2,0
Dennis Bermudez,0,63 of 122,51%,83 of 147,5 of 9,55%,2,8,0
Geoff Neal,2,71 of 190,37%,71 of 190,0 of 0,0%,0,0,0
Chance Rencountre,0,6 of 9,66%,13 of 22,2 of 3,66%,1,1,0
Jon Jones,0,59 of 102,57%,63 of 106,1 of 5,20%,0,3,0
Amanda Nunes,2,13 of 21,61%,13 of 21,0 of 0,0%,0,0,0
Michael Chiesa,0,10 of 22,45%,16 of 33,4 of 5,80%,1,3,0
Corey Anderson,0,40 of 121,33%,45 of 127,0 of 4,0%,0,0,0
Alexander Volkanovski,1,54 of 124,43%,54 of 124,0 of 0,0%,0,0,0
Megan Anderson,0,3 of 9,33%,3 of 9,0 of 0,0%,0,0,0
Petr Yan,0,76 of 118,64%,101 of 145,3 of 4,75%,1,1,0
Ryan Hall,0,6 of 15,40%,8 of 19,0 of 0,0%,1,0,0
Nathaniel Wood,1,61 of 114,53%,171 of 234,2 of 3,66%,1,4,0
Uriah Hall,1,39 of 88,44%,42 of 91,0 of 0,0%,0,0,0
Curtis Millender,0,89 of 165,53%,91 of 167,0 of 0,0%,0,1,0
Montel Jackson,0,10 of 16,62%,16 of 27,0 of 0,0%,1,0,0
Al Iaquinta,0,111 of 228,48%,113 of 230,0 of 7,0%,0,0,0
Edson Barboza,1,126 of 226,55%,127 of 227,0 of 1,0%,0,0,0
Rob Font,0,111 of 247,44%,118 of 255,2 of 4,50%,1,2,1
Charles Oliveira,0,0 of 1,0%,1 of 2,1 of 1,100%,1,1,0
Zak Ottow,0,14 of 71,19%,22 of 82,1 of 6,16%,0,0,0
Drakkar Klose,0,58 of 131,44%,69 of 143,0 of 6,0%,0,0,0
Joaquim Silva,0,95 of 191,49%,121 of 218,1 of 1,100%,2,1,0
Jack Hermansson,0,41 of 59,69%,53 of 73,1 of 2,50%,1,9,0
Zak Cummings,1,56 of 139,40%,63 of 147,0 of 5,0%,0,1,0
Dan Ige,0,56 of 107,52%,86 of 144,3 of 7,42%,0,7,1
Mike Rodriguez,2,35 of 42,83%,44 of 53,0 of 0,0%,0,0,0
Juan Adams,0,86 of 144,59%,121 of 180,2 of 2,100%,0,4,0
Max Holloway,0,290 of 490,59%,307 of 507,1 of 1,100%,0,0,0
Valentina Shevchenko,0,89 of 191,46%,118 of 223,5 of 14,35%,0,3,0
Gunnar Nelson,0,11 of 11,100%,20 of 20,2 of 5,40%,1,2,0
Hakeem Dawodu,0,103 of 212,48%,103 of 212,0 of 0,0%,0,0,0
Thiago Santos,2,42 of 74,56%,65 of 97,1 of 3,33%,0,1,0
Nina Ansaroff,0,96 of 211,45%,123 of 238,0 of 0,0%,0,0,0
Gilbert Burns,1,76 of 143,53%,120 of 190,3 of 7,42%,0,4,0
Jessica Eye,0,81 of 190,42%,83 of 192,0 of 3,0%,0,0,0
Elias Theodorou,0,92 of 211,43%,102 of 221,0 of 3,0%,0,0,0
Brad Katona,0,76 of 158,48%,86 of 170,0 of 3,0%,0,0,0
Dhiego Lima,1,5 of 25,20%,5 of 25,0 of 0,0%,0,0,0
Diego Ferreira,0,54 of 102,52%,63 of 112,2 of 4,50%,1,6,0
Aleksandar Rakic,1,31 of 45,68%,33 of 47,0 of 1,0%,0,0,0
Junior Dos Santos,1,26 of 65,40%,37 of 77,0 of 0,0%,0,2,0
Mauricio Rua,1,30 of 56,53%,62 of 94,3 of 5,60%,0,3,0
Justin Willis,0,59 of 103,57%,59 of 103,0 of 0,0%,0,0,0
Anthony Rocco Martin,0,25 of 86,29%,33 of 94,0 of 0,0%,1,2,1
Sodiq Yusuff,0,23 of 43,53%,44 of 66,0 of 0,0%,0,0,0
Jimmy Crute,0,17 of 38,44%,49 of 75,1 of 1,100%,4,9,2
Aleksei Kunchenko,0,72 of 129,55%,141 of 203,0 of 0,0%,0,0,0
Wilson Reis,0,32 of 115,27%,41 of 126,7 of 17,41%,1,1,0
Keita Nakamura,1,41 of 97,42%,55 of 112,0 of 4,0%,0,0,0
Kai Kara-France,1,86 of 178,48%,157 of 261,0 of 0,0%,0,5,1
Christos Giagos,0,31 of 90,34%,63 of 131,5 of 10,50%,0,0,1
Damir Ismagulov,0,34 of 55,61%,103 of 137,5 of 11,45%,0,4,0
Kamaru Usman,0,130 of 223,58%,227 of 334,12 of 18,66%,0,7,0
Juan Espino,0,22 of 23,95%,44 of 52,2 of 2,100%,2,4,0
Macy Chiasson,1,24 of 50,48%,37 of 64,0 of 6,0%,2,2,0
Pedro Munhoz,1,35 of 58,60%,38 of 62,0 of 0,0%,0,0,0
Edmen Shahbazyan,0,22 of 37,59%,27 of 43,8 of 21,38%,0,3,0
Antonina Shevchenko,0,66 of 134,49%,87 of 167,2 of 2,100%,0,1,0
Kevin Aguilar,1,86 of 168,51%,103 of 186,0 of 1,0%,0,2,0
Joseph Benavidez,0,35 of 72,48%,42 of 79,1 of 2,50%,0,0,0
Maurice Greene,0,9 of 15,60%,11 of 18,0 of 0,0%,1,0,0
Leah Letson,0,73 of 179,40%,88 of 196,0 of 1,0%,0,0,0
Roosevelt Roberts,0,16 of 35,45%,23 of 42,0 of 0,0%,1,0,0
Tim Means,0,19 of 32,59%,26 of 39,2 of 2,100%,0,0,0
Raoni Barcelos,0,35 of 63,55%,83 of 118,2 of 2,100%,1,3,0
Francis Ngannou,1,13 of 17,76%,13 of 17,0 of 0,0%,0,0,0
Alistair Overeem,0,22 of 26,84%,26 of 31,1 of 2,50%,0,0,0
Song Yadong,0,79 of 172,45%,86 of 181,2 of 2,100%,0,2,0
Jingliang Li,1,89 of 222,40%,97 of 234,1 of 2,50%,0,2,0
Alex Morono,0,98 of 212,46%,100 of 214,0 of 2,0%,0,0,0
Yanan Wu,0,18 of 36,50%,28 of 46,0 of 1,0%,1,0,0
Rashad Coulter,1,98 of 157,62%,108 of 167,0 of 0,0%,0,0,0
Weili Zhang,0,45 of 58,77%,63 of 79,1 of 3,33%,2,2,0
Liu Pingyuan,1,55 of 133,41%,73 of 155,0 of 4,0%,2,2,0
Yan Xiaonan,0,150 of 331,45%,150 of 333,0 of 1,0%,0,0,0
Kevin Holland,0,123 of 187,65%,164 of 236,5 of 6,83%,2,8,0
Louis Smolka,0,32 of 62,51%,42 of 76,2 of 5,40%,1,3,0
Santiago Ponzinibbio,2,79 of 177,44%,81 of 179,0 of 0,0%,0,0,0
Ricardo Lamas,0,70 of 123,56%,80 of 134,3 of 5,60%,0,1,1
Johnny Walker,1,10 of 11,90%,10 of 11,0 of 0,0%,0,0,0
Ian Heinisch,1,55 of 95,57%,90 of 133,1 of 7,14%,2,1,0
Marlon Vera,1,24 of 35,68%,36 of 48,2 of 2,100%,2,1,0
Cynthia Calvillo,0,22 of 41,53%,35 of 54,2 of 3,66%,1,2,0
Michel Prazeres,1,18 of 23,78%,26 of 32,1 of 1,100%,1,3,0
Austin Arnett,0,74 of 116,63%,95 of 139,1 of 6,16%,0,1,0
Laureano Staropoli,0,97 of 275,35%,99 of 277,0 of 0,0%,0,0,0
Jesus Pinedo,0,60 of 142,42%,68 of 153,5 of 5,100%,0,0,0
Nad Narimani,0,84 of 186,45%,111 of 220,1 of 5,20%,0,2,0
Yair Rodriguez,1,119 of 271,43%,129 of 281,0 of 4,0%,0,0,0
Donald Cerrone,0,9 of 13,69%,10 of 14,0 of 1,0%,1,2,1
Davi Ramos,0,4 of 5,80%,4 of 5,1 of 1,100%,1,2,0
Devonte Smith,1,13 of 19,68%,13 of 19,0 of 0,0%,0,0,0
Eric Shelton,0,16 of 57,28%,45 of 90,7 of 10,70%,0,1,1
Mark De La Rosa,0,66 of 167,39%,68 of 169,0 of 7,0%,0,0,0
Daniel Cormier,0,19 of 25,76%,42 of 54,4 of 4,100%,1,4,0
Jacare Souza,1,74 of 132,56%,100 of 158,0 of 0,0%,0,0,0
Jared Cannonier,1,26 of 56,46%,31 of 61,0 of 0,0%,0,0,0
Karl Roberson,0,34 of 71,47%,90 of 135,2 of 3,66%,0,3,0
Jordan Rinaldi,0,20 of 40,50%,98 of 128,3 of 4,75%,2,8,1
Sijara Eubanks,1,57 of 175,32%,81 of 205,3 of 4,75%,0,2,0
Sheymon Moraes,2,32 of 102,31%,35 of 105,0 of 0,0%,0,0,0
Lyman Good,1,14 of 22,63%,17 of 25,0 of 0,0%,0,0,0
Shane Burgos,0,17 of 24,70%,17 of 24,0 of 0,0%,1,0,0
Marcos Rogerio de Lima,0,28 of 59,47%,70 of 112,3 of 5,60%,0,3,0
Anthony Smith,0,63 of 117,53%,67 of 121,1 of 3,33%,2,1,0
Michael Johnson,0,99 of 219,45%,101 of 222,1 of 1,100%,0,0,0
Misha Cirkunov,0,11 of 18,61%,65 of 72,1 of 1,100%,2,1,0
Andre Soukhamthath,2,79 of 138,57%,98 of 157,3 of 3,100%,1,1,0
Gian Villante,0,81 of 217,37%,81 of 217,0 of 1,0%,0,0,0
Court McGee,1,51 of 88,57%,111 of 154,2 of 6,33%,0,4,1
Sean Strickland,1,65 of 177,36%,68 of 180,0 of 0,0%,0,1,0
Nasrat Haqparast,1,124 of 256,48%,148 of 282,0 of 1,0%,0,0,0
Calvin Kattar,1,24 of 48,50%,29 of 56,0 of 0,0%,0,0,0
Talita Bernardo,0,60 of 102,58%,86 of 130,2 of 6,33%,1,6,1
Don Madge,2,21 of 31,67%,42 of 53,0 of 0,0%,1,0,0
Arjan Bhullar,0,47 of 84,55%,99 of 140,1 of 2,50%,0,0,0
Stevie Ray,0,75 of 174,43%,75 of 174,0 of 0,0%,0,0,0
Khabib Nurmagomedov,0,70 of 119,58%,104 of 157,3 of 7,42%,1,5,0
Tony Ferguson,0,114 of 194,58%,115 of 195,0 of 0,0%,0,0,0
Dominick Reyes,1,94 of 142,66%,101 of 150,0 of 2,0%,0,0,0
Derrick Lewis,1,39 of 70,55%,40 of 71,0 of 2,0%,0,0,1
Michelle Waterson,0,76 of 107,71%,131 of 163,0 of 4,0%,0,2,0
Vicente Luque,1,41 of 64,64%,41 of 64,0 of 0,0%,0,0,0
Nik Lentz,1,75 of 101,74%,92 of 121,2 of 5,40%,1,3,0
Anthony Rocco Martin,2,36 of 77,46%,38 of 79,0 of 0,0%,1,4,0
Andre Ewell,1,53 of 123,43%,57 of 128,1 of 1,100%,0,0,0
Charles Oliveira,0,28 of 60,46%,28 of 60,2 of 4,50%,1,3,0
Francisco Trinaldo,1,28 of 69,40%,28 of 69,0 of 1,0%,0,1,1
Ryan Spann,0,46 of 97,47%,50 of 101,0 of 0,0%,1,5,1
Augusto Sakai,0,111 of 218,50%,125 of 233,1 of 1,100%,0,1,0
Sergio Moraes,0,2 of 3,66%,17 of 20,2 of 2,100%,2,4,0
Mayra Bueno Silva,0,11 of 32,34%,12 of 33,0 of 0,0%,1,0,0
Thales Leites,0,54 of 117,46%,60 of 123,2 of 3,66%,0,0,0
Elizeu Zaleski dos Santos,1,15 of 32,46%,15 of 32,0 of 0,0%,0,0,0
Livinha Souza,0,10 of 18,55%,10 of 18,1 of 1,100%,1,2,0
Aleksei Oleinik,0,3 of 26,11%,3 of 26,1 of 5,20%,1,1,0
Jan Blachowicz,0,10 of 18,55%,24 of 33,1 of 1,100%,1,4,0
Aleksei Kunchenko,0,44 of 153,28%,56 of 166,1 of 2,50%,0,0,0
Khalid Murtazaliev,0,48 of 69,69%,53 of 74,5 of 5,100%,0,5,1
Petr Yan,0,100 of 232,43%,115 of 249,0 of 1,0%,0,0,1
Jordan Johnson,0,35 of 55,63%,55 of 82,3 of 4,75%,2,4,0
Ramazan Emeev,1,36 of 84,42%,47 of 96,2 of 3,66%,1,1,0
Merab Dvalishvili,0,62 of 165,37%,205 of 330,5 of 8,62%,0,4,0
Tyron Woodley,1,57 of 79,72%,74 of 97,0 of 4,0%,1,1,0
Jessica Andrade,1,38 of 73,52%,39 of 74,0 of 0,0%,0,0,0
Jimmie Rivera,0,62 of 125,49%,63 of 126,0 of 3,0%,0,0,0
Abdul Razak Alhassan,1,15 of 21,71%,15 of 21,0 of 0,0%,0,0,0
Tatiana Suarez,0,82 of 98,83%,136 of 155,9 of 11,81%,0,14,0
Aljamain Sterling,0,33 of 74,44%,63 of 105,2 of 9,22%,2,4,0
Geoff Neal,2,59 of 102,57%,62 of 105,0 of 0,0%,0,0,0
Darren Stewart,1,24 of 65,36%,28 of 69,0 of 0,0%,0,0,0
Diego Sanchez,0,46 of 77,59%,82 of 124,3 of 4,75%,0,5,0
Jarred Brooks,0,24 of 42,57%,82 of 108,2 of 4,50%,1,1,0
Justin Gaethje,1,7 of 15,46%,7 of 15,0 of 0,0%,0,0,0
Michael Johnson,0,65 of 116,56%,70 of 122,0 of 3,0%,0,0,1
Cortney Casey,0,111 of 333,33%,117 of 341,1 of 6,16%,0,1,0
Bryan Barberena,2,19 of 35,54%,31 of 47,0 of 0,0%,0,0,0
James Krause,0,59 of 106,55%,79 of 126,0 of 4,0%,0,0,0
Cory Sandhagen,0,66 of 113,58%,104 of 159,0 of 0,0%,0,2,0
Andrew Sanchez,0,73 of 159,45%,119 of 215,0 of 6,0%,0,0,0
Mickey Gall,0,0 of 2,0%,2 of 6,1 of 1,100%,1,1,0
Joanne Calderwood,0,5 of 6,83%,24 of 29,0 of 0,0%,2,0,0
Drew Dober,0,60 of 136,44%,122 of 208,2 of 2,100%,0,3,0
Rani Yahya,0,4 of 8,50%,4 of 8,0 of 2,0%,2,0,0
TJ Dillashaw,2,45 of 72,62%,51 of 78,0 of 0,0%,0,0,0
Henry Cejudo,0,51 of 147,34%,80 of 178,3 of 11,27%,0,2,0
Renato Moicano,1,17 of 47,36%,23 of 53,1 of 2,50%,1,4,0
Ricky Simon,0,25 of 53,47%,44 of 75,7 of 20,35%,0,4,0
Ricardo Ramos,0,54 of 146,36%,63 of 157,1 of 2,50%,1,0,0
Sheymon Moraes,0,73 of 172,42%,77 of 177,0 of 4,0%,0,0,0
Marlon Vera,1,45 of 86,52%,59 of 102,1 of 4,25%,0,1,0
Dustin Poirier,1,54 of 115,46%,76 of 138,0 of 0,0%,2,0,0
Jose Aldo,1,29 of 63,46%,29 of 63,0 of 0,0%,0,1,0
Joanna Jedrzejczyk,0,62 of 166,37%,81 of 185,0 of 0,0%,0,0,0
Alexander Hernandez,0,39 of 81,48%,86 of 137,4 of 10,40%,0,2,1
Jordan Mein,0,14 of 38,36%,27 of 53,3 of 4,75%,0,5,1
Hakeem Dawodu,0,75 of 170,44%,80 of 176,0 of 1,0%,0,0,0
Islam Makhachev,0,7 of 18,38%,14 of 26,1 of 1,100%,1,2,0
Ion Cutelaba,0,40 of 46,86%,40 of 46,0 of 0,0%,0,0,0
John Makdessi,0,131 of 261,50%,134 of 265,0 of 0,0%,0,0,0
Katlyn Chookagian,0,62 of 202,30%,62 of 202,0 of 0,0%,0,0,0
Devin Powell,1,12 of 26,46%,12 of 26,0 of 1,0%,0,0,0
Anthony Smith,1,23 of 31,74%,23 of 31,0 of 0,0%,0,0,0
Corey Anderson,0,48 of 97,49%,88 of 140,7 of 19,36%,0,7,0
Danny Roberts,0,45 of 87,51%,68 of 117,0 of 2,0%,1,4,0
Nasrat Haqparast,1,93 of 198,46%,102 of 208,0 of 2,0%,0,0,0
Damir Hadzovic,1,71 of 155,45%,71 of 155,0 of 0,0%,0,0,0
Bartosz Fabinski,0,35 of 48,72%,72 of 91,6 of 9,66%,0,8,0
Nad Narimani,0,45 of 69,65%,67 of 97,6 of 11,54%,0,6,0
Aleksandar Rakic,1,104 of 144,72%,263 of 317,3 of 4,75%,0,4,0
Manny Bermudez,1,3 of 5,60%,3 of 5,0 of 0,0%,2,1,0
Darko Stosic,0,9 of 16,56%,9 of 17,0 of 0,0%,0,0,0
Liu Pingyuan,0,32 of 77,41%,59 of 106,1 of 1,100%,2,0,1
Junior Dos Santos,0,110 of 248,44%,110 of 248,0 of 1,0%,0,0,0
Sage Northcutt,1,24 of 37,64%,37 of 50,1 of 1,100%,1,1,0
Rick Glenn,0,48 of 137,35%,59 of 151,0 of 0,0%,1,0,0
Niko Price,0,12 of 39,30%,40 of 81,1 of 2,50%,0,0,1
Chad Mendes,1,17 of 27,62%,17 of 27,0 of 0,0%,0,0,0
Cat Zingano,0,33 of 57,57%,94 of 123,6 of 10,60%,0,2,0
Alejandro Perez,0,53 of 214,24%,53 of 214,0 of 2,0%,0,0,0
Alexander Volkanovski,2,100 of 144,69%,103 of 147,2 of 12,16%,3,0,0
Said Nurmagomedov,0,65 of 113,57%,86 of 134,1 of 11,9%,0,0,0
Raoni Barcelos,1,82 of 146,56%,95 of 160,3 of 4,75%,0,1,0
Liz Carmouche,0,53 of 78,67%,109 of 135,3 of 4,75%,0,5,0
Mark De La Rosa,0,25 of 44,56%,26 of 45,2 of 3,66%,1,1,0
Jessica Aguilar,0,128 of 199,64%,138 of 209,0 of 6,0%,0,0,0
Daniel Cormier,1,25 of 37,67%,31 of 43,0 of 0,0%,0,0,0
Derrick Lewis,0,20 of 54,37%,20 of 54,0 of 2,0%,0,0,0
Mike Perry,0,62 of 110,56%,66 of 114,2 of 3,66%,0,0,0
Anthony Pettis,0,9 of 22,40%,13 of 26,0 of 0,0%,2,0,0
Khalil Rountree Jr.,1,9 of 17,52%,9 of 17,0 of 0,0%,0,0,0
Paulo Costa,1,75 of 116,64%,76 of 117,0 of 0,0%,0,0,0
Raphael Assuncao,0,54 of 120,45%,93 of 161,2 of 2,100%,0,4,0
Drakkar Klose,0,55 of 98,56%,73 of 118,1 of 4,25%,0,0,0
Curtis Millender,0,38 of 94,40%,40 of 96,1 of 1,100%,0,0,0
Dan Hooker,2,22 of 34,64%,22 of 34,0 of 0,0%,1,0,0
Emily Whitmire,0,53 of 183,28%,111 of 264,1 of 2,50%,0,1,0
Israel Adesanya,0,119 of 215,55%,127 of 223,0 of 2,0%,1,2,0
Michael Trizano,0,42 of 71,59%,86 of 116,0 of 0,0%,1,2,0
Brad Katona,0,71 of 111,63%,117 of 167,2 of 7,28%,0,3,0
Alex Caceres,0,82 of 159,51%,86 of 163,0 of 1,0%,0,1,0
Roxanne Modafferi,0,51 of 129,39%,86 of 172,1 of 1,100%,0,4,0
Alessio Di Chirico,0,50 of 116,43%,55 of 122,4 of 6,66%,0,2,0
Montana De La Rosa,0,56 of 149,37%,86 of 179,0 of 6,0%,1,2,0
Luis Pena,1,8 of 23,34%,8 of 23,1 of 1,100%,1,1,1
John Gunther,0,27 of 71,38%,94 of 152,8 of 19,42%,0,3,0
Bryce Mitchell,0,38 of 69,55%,45 of 78,3 of 10,30%,1,0,0
Steven Peterson,0,74 of 175,42%,115 of 220,2 of 6,33%,1,2,1
Gerald Meerschaert,0,51 of 104,49%,98 of 159,3 of 4,75%,2,3,1
Leon Edwards,0,84 of 166,50%,101 of 185,0 of 4,0%,0,0,0
Ovince Saint Preux,0,7 of 12,58%,13 of 18,0 of 1,0%,1,0,0
Jessica Eye,0,67 of 225,29%,74 of 232,1 of 2,50%,0,2,0
Jingliang Li,0,96 of 206,46%,96 of 206,0 of 0,0%,0,0,0
Petr Yan,2,25 of 40,62%,29 of 45,0 of 0,0%,0,1,0
Song Yadong,1,39 of 100,39%,88 of 155,1 of 1,100%,1,3,0
Shane Young,0,104 of 215,48%,116 of 230,1 of 5,20%,0,1,0
Kenan Song,1,32 of 71,45%,34 of 76,0 of 0,0%,0,0,0
Jake Matthews,0,12 of 19,63%,18 of 25,1 of 1,100%,1,2,0
Yan Xiaonan,0,71 of 227,31%,71 of 227,0 of 0,0%,0,0,0
Matt Schnell,0,71 of 183,38%,79 of 192,0 of 1,0%,0,0,0
Ulka Sasaki,0,25 of 56,44%,34 of 66,5 of 7,71%,1,9,0
Ji Yeon Kim,0,73 of 241,30%,93 of 261,0 of 0,0%,0,0,0
Robert Whittaker,0,128 of 326,39%,129 of 328,0 of 1,0%,0,0,0
Colby Covington,0,99 of 296,33%,142 of 346,7 of 18,38%,0,2,0
Holly Holm,0,47 of 71,66%,143 of 176,4 of 8,50%,1,9,0
Tai Tuivasa,1,54 of 120,45%,54 of 120,0 of 0,0%,0,1,0
Mike Jackson,0,64 of 108,59%,129 of 177,1 of 1,100%,0,1,0
Curtis Blaydes,0,37 of 53,69%,62 of 85,4 of 4,100%,0,6,0
Claudia Gadelha,0,26 of 64,40%,78 of 124,4 of 5,80%,1,6,0
Mirsad Bektic,0,31 of 89,34%,97 of 174,2 of 4,50%,0,1,0
Chris de la Rocha,0,40 of 79,50%,79 of 129,3 of 4,75%,2,5,0
Anthony Smith,1,6 of 9,66%,6 of 9,0 of 1,0%,0,0,0
Sergio Pettis,0,74 of 168,44%,87 of 183,0 of 0,0%,0,0,0
Charles Oliveira,0,14 of 29,48%,14 of 29,0 of 0,0%,1,0,0
Dan Ige,0,25 of 27,92%,29 of 32,1 of 1,100%,0,2,0
Marlon Moraes,1,7 of 9,77%,7 of 9,0 of 0,0%,0,0,0
Gregor Gillespie,0,13 of 26,50%,30 of 48,7 of 9,77%,2,7,0
Walt Harris,1,29 of 79,36%,30 of 80,0 of 0,0%,0,0,0
Ben Saunders,1,10 of 21,47%,11 of 22,0 of 0,0%,0,0,0
Julio Arce,0,63 of 178,35%,80 of 199,0 of 1,0%,1,1,0
Sam Alvey,1,53 of 122,43%,59 of 128,0 of 0,0%,0,0,0
Sijara Eubanks,0,75 of 213,35%,96 of 238,2 of 4,50%,0,2,0
David Teymur,0,67 of 187,35%,72 of 192,0 of 0,0%,0,0,0
Belal Muhammad,0,70 of 130,53%,88 of 149,3 of 4,75%,1,1,0
Desmond Green,0,77 of 191,40%,77 of 191,0 of 0,0%,0,0,0
Nathaniel Wood,0,33 of 97,34%,33 of 97,0 of 0,0%,1,1,0
Jose Torres,0,22 of 62,35%,25 of 65,1 of 3,33%,0,0,1
Darren Till,1,38 of 126,30%,40 of 129,0 of 0,0%,0,0,0
Neil Magny,1,18 of 29,62%,40 of 53,0 of 2,0%,0,1,0
Arnold Allen,0,29 of 90,32%,38 of 101,0 of 0,0%,1,0,0
Makwan Amirkhani,0,27 of 62,43%,32 of 68,3 of 5,60%,0,2,0
Claudio Silva,0,18 of 39,46%,25 of 51,1 of 3,33%,1,4,0
Darren Stewart,1,34 of 90,37%,34 of 90,0 of 0,0%,0,0,0
Tom Breese,1,23 of 44,52%,23 of 44,0 of 0,0%,0,0,0
Lina Lansberg,0,40 of 75,53%,81 of 125,1 of 1,100%,0,0,0
Carlo Pedersoli,0,67 of 179,37%,68 of 181,3 of 4,75%,0,1,0
Gillian Robertson,0,17 of 50,34%,26 of 60,2 of 4,50%,1,6,0
Elias Theodorou,0,77 of 138,55%,140 of 203,0 of 0,0%,0,0,0
Kamaru Usman,1,66 of 209,31%,97 of 244,0 of 0,0%,0,0,0
Tatiana Suarez,0,2 of 9,22%,4 of 11,2 of 3,66%,1,4,0
Dominick Reyes,1,20 of 52,38%,21 of 53,0 of 1,0%,0,0,0
Guido Cannetti,0,25 of 53,47%,44 of 75,1 of 3,33%,1,4,1
Andrea Lee,0,56 of 93,60%,87 of 131,3 of 5,60%,2,8,0
Vicente Luque,1,14 of 35,40%,14 of 35,0 of 0,0%,0,0,0
Michel Prazeres,0,30 of 76,39%,32 of 78,3 of 9,33%,0,3,0
Alexandre Pantoja,0,79 of 168,47%,96 of 187,0 of 0,0%,0,2,0
Poliana Botelho,1,9 of 13,69%,9 of 13,0 of 0,0%,0,0,0
Gabriel Benitez,1,9 of 19,47%,9 of 19,1 of 1,100%,0,0,0
Enrique Barzola,0,51 of 94,54%,89 of 149,10 of 15,66%,1,5,0
Frankie Saenz,1,66 of 120,55%,84 of 138,4 of 10,40%,0,2,0
Claudio Puelles,0,16 of 49,32%,16 of 49,2 of 7,28%,1,0,0
Amanda Nunes,0,124 of 254,48%,152 of 288,3 of 4,75%,0,2,0
Kelvin Gastelum,1,53 of 145,36%,57 of 149,0 of 0,0%,0,0,0
Mackenzie Dern,1,15 of 32,46%,16 of 33,0 of 0,0%,1,3,0
John Lineker,2,102 of 233,43%,113 of 244,0 of 0,0%,1,0,0
Lyoto Machida,1,11 of 22,50%,11 of 22,0 of 0,0%,0,0,0
Cezar Ferreira,0,5 of 6,83%,14 of 16,2 of 3,66%,1,3,0
Aleksei Oleinik,0,10 of 17,58%,10 of 17,0 of 3,0%,1,0,0
Davi Ramos,0,6 of 12,50%,13 of 21,1 of 1,100%,1,2,0
Elizeu Zaleski dos Santos,1,15 of 58,25%,18 of 63,0 of 1,0%,0,0,0
Warlley Alves,0,29 of 50,58%,54 of 78,0 of 1,0%,0,0,0
Jack Hermansson,0,35 of 56,62%,49 of 71,3 of 3,100%,1,1,0
Ramazan Emeev,0,39 of 84,46%,54 of 100,3 of 6,50%,0,0,0
Markus Perez,0,4 of 4,100%,13 of 16,1 of 1,100%,2,4,0
Kevin Lee,0,142 of 241,58%,233 of 344,4 of 9,44%,0,11,0
Frankie Edgar,0,58 of 136,42%,60 of 139,0 of 8,0%,0,0,0
Justin Willis,1,76 of 109,69%,118 of 153,1 of 2,50%,0,1,0
David Branch,1,5 of 15,33%,5 of 15,0 of 1,0%,0,1,0
Aljamain Sterling,0,89 of 152,58%,117 of 181,3 of 9,33%,0,2,1
Dan Hooker,1,24 of 44,54%,24 of 44,0 of 0,0%,0,0,0
Ryan LaFlare,0,24 of 48,50%,47 of 71,1 of 6,16%,0,1,1
Ricky Simon,0,34 of 103,33%,38 of 108,2 of 7,28%,1,2,1
Siyar Bahadurzada,1,33 of 64,51%,61 of 94,1 of 1,100%,0,0,0
Corey Anderson,0,64 of 119,53%,99 of 162,12 of 13,92%,0,6,0
Anthony Rocco Martin,0,56 of 133,42%,65 of 142,0 of 0,0%,2,1,1
Dustin Poirier,0,174 of 351,49%,179 of 357,0 of 5,0%,0,0,0
Alex Oliveira,0,9 of 23,39%,22 of 37,3 of 3,100%,1,4,0
Israel Adesanya,0,57 of 123,46%,67 of 134,0 of 1,0%,0,0,0
Michelle Waterson,0,61 of 84,72%,77 of 103,3 of 4,75%,0,0,0
Antonio Carlos Junior,0,31 of 48,64%,35 of 52,1 of 2,50%,1,1,0
Muslim Salikhov,1,25 of 48,52%,26 of 49,0 of 2,0%,0,0,0
John Moraga,0,46 of 91,50%,69 of 116,0 of 0,0%,1,1,2
Brad Tavares,1,46 of 96,47%,62 of 115,0 of 1,0%,0,0,0
Gilbert Burns,1,31 of 65,47%,39 of 74,2 of 2,100%,0,2,0
Lauren Mueller,0,58 of 156,37%,70 of 171,2 of 2,100%,0,1,0
Yushin Okami,0,15 of 19,78%,57 of 66,6 of 13,46%,0,6,0
Adam Wieczorek,0,13 of 27,48%,14 of 28,0 of 0,0%,1,0,0
Alejandro Perez,0,44 of 100,44%,81 of 142,0 of 1,0%,0,0,0
